汉德术语对照表（按汉语拼音字母排列）


A

爱好 Neigung
暗示 Wink

B

把握能力 Fassungskraft
摆明 darlegen
颁布 vorschreiben
背反论 Antithetik
被造物 Geschöpfe
本体 Noumenon
本体论／本体论的 Ontologie／ontologisch
本土的 einheimisch
本质 Wesen／Wesentliche
本质 Natur
必然性 Notwendigkeit
变形 Modifikation
变异性 Varietät
辩证论法／辩证的 Dialektik／dialektisch
标准 Kriterium
标准 Probierstein
表象 Vorstellung
宾位词 Prädikabilien
病理学的 pathologisch
不合法的 usurpiert
不可测度性 Unermeßlichkeit
不可能性 Unmöglichkeit
不可知的 unerkannt
不灭的 unverweslich
不同质的／不同性质的 ungleichartig
不死性 Immortalität
不死者 Nichtsterbende
不限定的 indefinitum
不朽 Unsterblichkeit
不朽性 Inkorruptibilität

C

裁断 entscheiden
草图 Monogramm
阐明 dartun
阐明 Erläuterung
阐明 Erörterung
阐明 Exposition
超验的 transzendent
超感官的 übersinnlich
超自然的 hyperphysisch
程度 Grad
承载者 Vehikel
持存的／持存性／持存之物 beharrlich/Beharrlichkeit/Beharrliche
持续性 Dauer
秩序 Ordnung
冲动 Antrieb
冲动 Trieb
冲突 Widerstreit
重合 kongruieren
从属性 Dependenz
抽象 Abstraktion／abstrahieren
抽象 abziehen
初阶 Vorhof
储备 Vorrat
传达 Mitteilen
创世者 Welturheber
创世者 Weltschöpfer
创造者 Urheber
纯粹的 rein
刺激 Affektion／affizieren
刺激（作用） Anreiz
存有 Dasein
存在 Sein
存在物／存在者 Wesen

D

大前提 Major
大前提 Obersatz
大全 das All
大小 Gröβe
单称的 einzeln
单纯性 Einfachheit
单个的／单独的 einzeln
单数 Singular
单位 Einheit
单一性 Einheit
单子／单子论 Monad／Monadenlehre
当下 genenwärtig
道德／道德学 Moral
道德 Sitten
道德的 moral／moralisch
道德化 moralisieren
道德／道德性 Moralität
道德性／道德的 Sittlichkeit／sittlich
德性 Sittlichkeit
德行 Tugend
德行论 Tugendlehre
等同 einerlei
递进（的） Progressus／progressivd
定理 Lehre／Lehrsatz
定理 Satz
定义 Definition
定言的 kategorisch
动机 Triebfeder
动力学的 dynamisch
动物性 Animalität
动物性的 tierisch
动因 Bewegursache
独断论／独断论者／独断的 Dogmatismus/Dogmatiker/dogmatisch
杜撰之物 Unding
对象 Gegenstand
多神教 Vielgötterei
多数性 Vielheit
多样性 Mannigfaltigkeit

E

二分法 Dichtomie
二律背反 Antinomie
二元论 Dualismus
恩宠之国 Reich der Gnaden
发展 Entwicklung
法则 Gesetz
法规 Kanon
反思 Nachdenken
反思 Reflexion
反题 Antithesis
反省 Nachsinn
反省 Überlegung
反证法的 apagogisch
范本 Muster
范畴 Kategorie
方法论 Methodenlehre
方位 Ort
非存在 Nichtsein
非物质性 Immaterialität
分联 gliedern
分析 zergliedern
分析的 analytisch
分析论 Analytik
分子 Molecularum
否定性（的）negativ／Negation
复多性 Mehrheit
复合（物）Zusammensetzung
复合体 Compositum

G

概观 Synopsis
概念 Begriff
感官 Sinn
感官世界 Sinnenwelt
感官物 Sinnenwesen
感觉 Empfindung
感觉论学说 Sensualsystem
感觉论哲学家 Sensualphilosoph
感受／感受性 Empfangen／Empfänglichkeit
感性的／感性 sinnlich／Sinnlichkeit
感性化 sensifizieren
感性论 Ästhetik
革命 Revolution
个体 Individuum
根据 Grund
公理 Axion
公设／悬设 Postulate
公式 Formel
公则 Petition
公正／权利 Recht
工具论／工具 Organon
工具／器官 Organ
共同性 communio
共相 Allgemeine
构成性的 konstitutiv
构想 dichten
构想 Entwurf／entwerfen
构造 Konstruktion／konstruieren
观念论 Idealismus
观念性 Idealität
管教 Zucht
关联 Zusammenhang
关系 Relation
广延 Ausdehnung
规定 Bestimmung
规定根据 Bestimmungsgrund
规范 Vorschrift
规律 Gesetz
规则 Regel
归纳 Induktion
归摄 subsumieren
诡辩 Dialexe
诡辩论者／诡辩论的 Sophist／sophistisch
过去的 vergegangen

H

号数上的 numerisch
和平 Frieden
和谐 Harmonie
合理的 rational
合目的的／合目的性 zweckmäβig／Zweckmäßigkeit
鸿沟 Kluft
后天地 a posteriori
后续推论法 Episyllogismos
怀疑论／怀疑（论）的／怀疑论者 Skeptizismus/skeptisch/Skeptiker
环环相扣 Artikulation
还原性 Reduktion
幻想的 phantasisch
幻相 Schein
幻影 Hirngespinst
荒谬的 ungereimt
荒唐 Widersinn
回溯 Regressus／regressiv 
或然性 Wahrscheinlichkeit
或然的／悬拟的 problematisch

J

基本命题 Kardinalsatz
基本实体 Elementarsubstanz
基底 Substratum
基地 Boden
基准 Norm
机会 Los
机会／机缘 Gelegenheit
机能 Funktion
机能／工具／器官 Organ
机械的 mechanisch
机械作用／机械论 Mechanismus
积极的 positiv
极大值 Maximum
技术性的 technisch
技艺 Kunst
假设 Hypothese
价值 Wert
简单性 Simplizität
检察官 Zensur
建筑术 Archtektonik
鉴赏 Geschmack
僭妄 Anmaβung
交互联系 commercium
交互的／交互性／wechselseitig／Wechselseitigkeit
交互作用 Wechselwirkung
交感 Kommerzium
教化 Bildung
教理 Mathema
教条 Dogma
教学法的 didaktisch
教养 Kultur
教育 Erziehung
接受性 Rezeptivität
结果 Wirkung
节制 Mäßigung
经验 Erfahrung
经验论／经验主义 Empirismus
经验性的 empirisch
精气论 Pneumatism
精神／精神性的 Geist／geistig
精神性 Spiritualität
静观的 kontemplativ
惊奇／惊叹 Bewunderung
敬重 Achtung
聚合物（体） Aggregat
决断 Entschließen
绝对 absolut
绝对 durchaus
绝对 schlechthin／schlechterdings
均匀的 gleichförmig

K

喀迈拉 Chimäre 
可分性 Teibarkeit
可能性／可能的 Moglichkeit／möglich
可行的／可行性 tunlich／Tunlichkeit
科学 Wissenschaft
客观的 objektiv
客体 Objekt
肯定／肯定的 Bejahung／bejahend
肯定的／积极的 positiv
